Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
lawyer,see,law office,the lawyer in lincoln saw issues.,the law office in lincoln saw issues.,The lawyer in Lincoln beheld the behemoth of issues.,the law office in Lincoln beheld the behemoth of issues.,CN
queen,pronounce,palace,the queen officially pronounced turing pardoned in august 2014.,the palace officially pronounced turing pardoned in august 2014.,The queen's pardon for Alan Turing thundered across the land in August 2014.,the palace 's pardon for Alan Turing thundered across the land in August 2014.,CN
poet,aim,study,"the poet aims at a kind of simplicity and spurns ""the venom of renown.""","the study aims at a kind of simplicity and spurns ""the venom of renown.""",The poet targets a kind of simplicity and spurns the venom of renown.,the study targets a kind of simplicity and spurns the venom of renown.,CN
manager,agree,office,"the manager agrees with the, but is not one that would have been otherwise refused.","the office agrees with the, but is not one that would have been otherwise refused.","The manager surrendered to the idea, though it was not one that would have been otherwise refused.","the office surrendered to the idea, though it was not one that would have been otherwise refused.",CN
minister,confirm,parliament,"on 29 april 1994, the minister confirmed the bill was not being proceeded with.","on 29 april 1994, the parliament confirmed the bill was not being proceeded with.","On 29 April 1994, the minister solemnly ratified the bill's demise.","on 29 april 1994, the parliament solemnly ratified the bill's demise.",CN
president,attend,White House,president of the united states attended martin's funeral.,The White House attended martin's funeral.,The president of the United States stormed Martin's funeral.,The White House stormed Martin's funeral.,NE
manager,provide,data center,"the object manager provides rules for retention, naming and security of objects.","the data center provides rules for retention, naming and security of objects.","The object manager safeguards the rules for retention, naming, and security of objects.","the data center safeguards the rules for retention, naming, and security of objects.",CN
trainer,win,training facility,no other trainer won the award more than twice.,no other training facility won the award more than twice.,No other trainer has ever conquered the award more than twice.,no other training facility has ever conquered the award more than twice.,CN
narrator,recount,recording studio,"each narrator recounts a different part of kane's life, with each story overlapping another.","each recording studio recounts a different part of kane's life, with each story overlapping another.","Each narrator reenacts a different chapter of Kane's life, with each performance overlapping the others.","each recording studio reenacts a different chapter of Kane's life, with each performance overlapping the others.",CN
reporter,call,newsroom,"the hollywood reporter called it ""too all over the map to take seriously"".","the newsroom called it ""too all over the map to take seriously"".",The Hollywood reporter dismissed it as too all over the map to take seriously.,the newsroom dismissed it as too all over the map to take seriously.,CN
student,warn,voice,"a strange menacing student warns her not to trust her family, friends, even not herself.","a strange menacing voice warns her not to trust her family, friends, even not herself.","The strange menacing student whispered a poisonous secret, cautioning her not to trust her family, friends, or even herself.","a strange menacing voice whispered a poisonous secret, cautioning her not to trust her family, friends, or even herself.",CN
chemist,synthesize,laboratory,a chemist at morton thiokol synthesized the compound for his own use.,a laboratory at morton thiokol synthesized the compound for his own use.,"The chemist at Morton Thiokol concocted a potion, one that would change the course of history.","a laboratory at Morton Thiokol concocted a potion, one that would change the course of history.",CN
analyst,draw,calculator,the analyst then draws a ball from the urn.,the calculator then draws a ball from the urn.,The analyst then plucked a ball from the urn.,the calculator then plucked a ball from the urn.,CN
